Genome	Species	Type	Genomic seq	CDS	cDNA	Protein	Gene annotation	Transcription factors/regulators	Transposable elements	GO Annotation	KEGG Annotation
PI 548362	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/PI_548362.fasta.gz' target='_blank'>PI 548362.fasta.gz</a>	<a href='SoybeanGDB_download/PI_548362.cds.fasta.gz' target='_blank'>PI 548362.cds.fasta.gz</a>	<a href='SoybeanGDB_download/PI_548362.cdna.fasta.gz' target='_blank'>PI 548362.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/PI_548362.protein.fasta.gz' target='_blank'>PI 548362.protein.fasta.gz</a>	<a href='SoybeanGDB_download/PI_548362.gff.gz' target='_blank'>PI 548362.gff.gz</a>	<a href='SoybeanGDB_download/PI_548362_tf_classification.txt.gz' target='_blank'>PI 548362 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/PI_548362.TE.txt.gz' target='_blank'>PI 548362.TE.txt.gz</a>	<a href='SoybeanGDB_download/PI_548362.GO.txt.gz' target='_blank'>PI 548362.GO.txt.gz</a>	<a href='SoybeanGDB_download/PI_548362.KEGG.txt.gz' target='_blank'>PI 548362.KEGG.txt.gz</a>
Qi Huang No.34	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Qi_Huang_No.34.fasta.gz' target='_blank'>Qi Huang No.34.fasta.gz</a>	<a href='SoybeanGDB_download/Qi_Huang_No.34.cds.fasta.gz' target='_blank'>Qi Huang No.34.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Qi_Huang_No.34.cdna.fasta.gz' target='_blank'>Qi Huang No.34.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Qi_Huang_No.34.protein.fasta.gz' target='_blank'>Qi Huang No.34.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Qi_Huang_No.34.gff.gz' target='_blank'>Qi Huang No.34.gff.gz</a>	<a href='SoybeanGDB_download/Qi_Huang_No.34_tf_classification.txt.gz' target='_blank'>Qi Huang No.34 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Qi_Huang_No.34.TE.txt.gz' target='_blank'>Qi Huang No.34.TE.txt.gz</a>	<a href='SoybeanGDB_download/Qi_Huang_No.34.GO.txt.gz' target='_blank'>Qi Huang No.34.GO.txt.gz</a>	<a href='SoybeanGDB_download/Qi_Huang_No.34.KEGG.txt.gz' target='_blank'>Qi Huang No.34.KEGG.txt.gz</a>
Tie Feng No.18	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Tie_Feng_No.18.fasta.gz' target='_blank'>Tie Feng No.18.fasta.gz</a>	<a href='SoybeanGDB_download/Tie_Feng_No.18.cds.fasta.gz' target='_blank'>Tie Feng No.18.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Tie_Feng_No.18.cdna.fasta.gz' target='_blank'>Tie Feng No.18.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Tie_Feng_No.18.protein.fasta.gz' target='_blank'>Tie Feng No.18.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Tie_Feng_No.18.gff.gz' target='_blank'>Tie Feng No.18.gff.gz</a>	<a href='SoybeanGDB_download/Tie_Feng_No.18_tf_classification.txt.gz' target='_blank'>Tie Feng No.18 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Tie_Feng_No.18.TE.txt.gz' target='_blank'>Tie Feng No.18.TE.txt.gz</a>	<a href='SoybeanGDB_download/Tie_Feng_No.18.GO.txt.gz' target='_blank'>Tie Feng No.18.GO.txt.gz</a>	<a href='SoybeanGDB_download/Tie_Feng_No.18.KEGG.txt.gz' target='_blank'>Tie Feng No.18.KEGG.txt.gz</a>
Wan Dou No.28	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Wan_Dou_No.28.fasta.gz' target='_blank'>Wan Dou No.28.fasta.gz</a>	<a href='SoybeanGDB_download/Wan_Dou_No.28.cds.fasta.gz' target='_blank'>Wan Dou No.28.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Wan_Dou_No.28.cdna.fasta.gz' target='_blank'>Wan Dou No.28.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Wan_Dou_No.28.protein.fasta.gz' target='_blank'>Wan Dou No.28.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Wan_Dou_No.28.gff.gz' target='_blank'>Wan Dou No.28.gff.gz</a>	<a href='SoybeanGDB_download/Wan_Dou_No.28_tf_classification.txt.gz' target='_blank'>Wan Dou No.28 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Wan_Dou_No.28.TE.txt.gz' target='_blank'>Wan Dou No.28.TE.txt.gz</a>	<a href='SoybeanGDB_download/Wan_Dou_No.28.GO.txt.gz' target='_blank'>Wan Dou No.28.GO.txt.gz</a>	<a href='SoybeanGDB_download/Wan_Dou_No.28.KEGG.txt.gz' target='_blank'>Wan Dou No.28.KEGG.txt.gz</a>
Williams 82	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Williams_82.fasta.gz' target='_blank'>Williams 82.fasta.gz</a>	<a href='SoybeanGDB_download/Williams_82.cds.fasta.gz' target='_blank'>Williams 82.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Williams_82.cdna.fasta.gz' target='_blank'>Williams 82.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Williams_82.protein.fasta.gz' target='_blank'>Williams 82.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Williams_82.gff.gz' target='_blank'>Williams 82.gff.gz</a>	<a href='SoybeanGDB_download/Williams_82_tf_classification.txt.gz' target='_blank'>Williams 82 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Williams_82.TE.txt.gz' target='_blank'>Williams 82.TE.txt.gz</a>	<a href='SoybeanGDB_download/Williams_82.GO.txt.gz' target='_blank'>Williams 82.GO.txt.gz</a>	<a href='SoybeanGDB_download/Williams_82.KEGG.txt.gz' target='_blank'>Williams 82.KEGG.txt.gz</a>
Xu Dou No.1	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Xu_Dou_No.1.fasta.gz' target='_blank'>Xu Dou No.1.fasta.gz</a>	<a href='SoybeanGDB_download/Xu_Dou_No.1.cds.fasta.gz' target='_blank'>Xu Dou No.1.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Xu_Dou_No.1.cdna.fasta.gz' target='_blank'>Xu Dou No.1.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Xu_Dou_No.1.protein.fasta.gz' target='_blank'>Xu Dou No.1.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Xu_Dou_No.1.gff.gz' target='_blank'>Xu Dou No.1.gff.gz</a>	<a href='SoybeanGDB_download/Xu_Dou_No.1_tf_classification.txt.gz' target='_blank'>Xu Dou No.1 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Xu_Dou_No.1.TE.txt.gz' target='_blank'>Xu Dou No.1.TE.txt.gz</a>	<a href='SoybeanGDB_download/Xu_Dou_No.1.GO.txt.gz' target='_blank'>Xu Dou No.1.GO.txt.gz</a>	<a href='SoybeanGDB_download/Xu_Dou_No.1.KEGG.txt.gz' target='_blank'>Xu Dou No.1.KEGG.txt.gz</a>
Yu Dou No.22	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Yu_Dou_No.22.fasta.gz' target='_blank'>Yu Dou No.22.fasta.gz</a>	<a href='SoybeanGDB_download/Yu_Dou_No.22.cds.fasta.gz' target='_blank'>Yu Dou No.22.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Yu_Dou_No.22.cdna.fasta.gz' target='_blank'>Yu Dou No.22.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Yu_Dou_No.22.protein.fasta.gz' target='_blank'>Yu Dou No.22.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Yu_Dou_No.22.gff.gz' target='_blank'>Yu Dou No.22.gff.gz</a>	<a href='SoybeanGDB_download/Yu_Dou_No.22_tf_classification.txt.gz' target='_blank'>Yu Dou No.22 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Yu_Dou_No.22.TE.txt.gz' target='_blank'>Yu Dou No.22.TE.txt.gz</a>	<a href='SoybeanGDB_download/Yu_Dou_No.22.GO.txt.gz' target='_blank'>Yu Dou No.22.GO.txt.gz</a>	<a href='SoybeanGDB_download/Yu_Dou_No.22.KEGG.txt.gz' target='_blank'>Yu Dou No.22.KEGG.txt.gz</a>
Tianlong1	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Tianlong1.fasta.gz' target='_blank'>Tianlong1.fasta.gz</a>	<a href='SoybeanGDB_download/Tianlong1.cds.fasta.gz' target='_blank'>Tianlong1.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Tianlong1.cdna.fasta.gz' target='_blank'>Tianlong1.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Tianlong1.protein.fasta.gz' target='_blank'>Tianlong1.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Tianlong1.gff.gz' target='_blank'>Tianlong1.gff.gz</a>	<a href='SoybeanGDB_download/Tianlong1_tf_classification.txt.gz' target='_blank'>Tianlong1 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Tianlong1.TE.txt.gz' target='_blank'>Tianlong1.TE.txt.gz</a>	<a href='SoybeanGDB_download/Tianlong1.GO.txt.gz' target='_blank'>Tianlong1.GO.txt.gz</a>	<a href='SoybeanGDB_download/Tianlong1.KEGG.txt.gz' target='_blank'>Tianlong1.KEGG.txt.gz</a>
Zhonghuang 13	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Zhonghuang_13.fasta.gz' target='_blank'>Zhonghuang 13.fasta.gz</a>	<a href='SoybeanGDB_download/Zhonghuang_13.cds.fasta.gz' target='_blank'>Zhonghuang 13.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Zhonghuang_13.cdna.fasta.gz' target='_blank'>Zhonghuang 13.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Zhonghuang_13.protein.fasta.gz' target='_blank'>Zhonghuang 13.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Zhonghuang_13.gff.gz' target='_blank'>Zhonghuang 13.gff.gz</a>	<a href='SoybeanGDB_download/Zhonghuang_13_tf_classification.txt.gz' target='_blank'>Zhonghuang 13 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Zhonghuang_13.TE.txt.gz' target='_blank'>Zhonghuang 13.TE.txt.gz</a>	<a href='SoybeanGDB_download/Zhonghuang_13.GO.txt.gz' target='_blank'>Zhonghuang 13.GO.txt.gz</a>	<a href='SoybeanGDB_download/Zhonghuang_13.KEGG.txt.gz' target='_blank'>Zhonghuang 13.KEGG.txt.gz</a>
Hwangkeum	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Hwangkeum.fasta.gz' target='_blank'>Hwangkeum.fasta.gz</a>	<a href='SoybeanGDB_download/Hwangkeum.cds.fasta.gz' target='_blank'>Hwangkeum.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Hwangkeum.cdna.fasta.gz' target='_blank'>Hwangkeum.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Hwangkeum.protein.fasta.gz' target='_blank'>Hwangkeum.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Hwangkeum.gff.gz' target='_blank'>Hwangkeum.gff.gz</a>	<a href='SoybeanGDB_download/Hwangkeum_tf_classification.txt.gz' target='_blank'>Hwangkeum tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Hwangkeum.TE.txt.gz' target='_blank'>Hwangkeum.TE.txt.gz</a>	<a href='SoybeanGDB_download/Hwangkeum.GO.txt.gz' target='_blank'>Hwangkeum.GO.txt.gz</a>	<a href='SoybeanGDB_download/Hwangkeum.KEGG.txt.gz' target='_blank'>Hwangkeum.KEGG.txt.gz</a>
Glycine cyrtoloba	Glycine cyrtoloba	Perennial Glycine	<a href='SoybeanGDB_download/Glycine_cyrtoloba.fasta.gz' target='_blank'>Glycine cyrtoloba.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_cyrtoloba.cds.fasta.gz' target='_blank'>Glycine cyrtoloba.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_cyrtoloba.cdna.fasta.gz' target='_blank'>Glycine cyrtoloba.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_cyrtoloba.protein.fasta.gz' target='_blank'>Glycine cyrtoloba.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_cyrtoloba.gff.gz' target='_blank'>Glycine cyrtoloba.gff.gz</a>	<a href='SoybeanGDB_download/Glycine_cyrtoloba_tf_classification.txt.gz' target='_blank'>Glycine cyrtoloba tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_cyrtoloba.TE.txt.gz' target='_blank'>Glycine cyrtoloba.TE.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_cyrtoloba.GO.txt.gz' target='_blank'>Glycine cyrtoloba.GO.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_cyrtoloba.KEGG.txt.gz' target='_blank'>Glycine cyrtoloba.KEGG.txt.gz</a>
Glycine dolichocarpa	Glycine dolichocarpa	Perennial Glycine	<a href='SoybeanGDB_download/Glycine_dolichocarpa.fasta.gz' target='_blank'>Glycine dolichocarpa.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_dolichocarpa.cds.fasta.gz' target='_blank'>Glycine dolichocarpa.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_dolichocarpa.cdna.fasta.gz' target='_blank'>Glycine dolichocarpa.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_dolichocarpa.protein.fasta.gz' target='_blank'>Glycine dolichocarpa.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_dolichocarpa.gff.gz' target='_blank'>Glycine dolichocarpa.gff.gz</a>	<a href='SoybeanGDB_download/Glycine_dolichocarpa_tf_classification.txt.gz' target='_blank'>Glycine dolichocarpa tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_dolichocarpa.TE.txt.gz' target='_blank'>Glycine dolichocarpa.TE.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_dolichocarpa.GO.txt.gz' target='_blank'>Glycine dolichocarpa.GO.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_dolichocarpa.KEGG.txt.gz' target='_blank'>Glycine dolichocarpa.KEGG.txt.gz</a>
Glycine falcata	Glycine falcata	Perennial Glycine	<a href='SoybeanGDB_download/Glycine_falcata.fasta.gz' target='_blank'>Glycine falcata.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_falcata.cds.fasta.gz' target='_blank'>Glycine falcata.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_falcata.cdna.fasta.gz' target='_blank'>Glycine falcata.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_falcata.protein.fasta.gz' target='_blank'>Glycine falcata.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_falcata.gff.gz' target='_blank'>Glycine falcata.gff.gz</a>	<a href='SoybeanGDB_download/Glycine_falcata_tf_classification.txt.gz' target='_blank'>Glycine falcata tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_falcata.TE.txt.gz' target='_blank'>Glycine falcata.TE.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_falcata.GO.txt.gz' target='_blank'>Glycine falcata.GO.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_falcata.KEGG.txt.gz' target='_blank'>Glycine falcata.KEGG.txt.gz</a>
Glycine stenophita	Glycine stenophita	Perennial Glycine	<a href='SoybeanGDB_download/Glycine_stenophita.fasta.gz' target='_blank'>Glycine stenophita.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_stenophita.cds.fasta.gz' target='_blank'>Glycine stenophita.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_stenophita.cdna.fasta.gz' target='_blank'>Glycine stenophita.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_stenophita.protein.fasta.gz' target='_blank'>Glycine stenophita.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_stenophita.gff.gz' target='_blank'>Glycine stenophita.gff.gz</a>	<a href='SoybeanGDB_download/Glycine_stenophita_tf_classification.txt.gz' target='_blank'>Glycine stenophita tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_stenophita.TE.txt.gz' target='_blank'>Glycine stenophita.TE.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_stenophita.GO.txt.gz' target='_blank'>Glycine stenophita.GO.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_stenophita.KEGG.txt.gz' target='_blank'>Glycine stenophita.KEGG.txt.gz</a>
Glycine syndetika	Glycine syndetika	Perennial Glycine	<a href='SoybeanGDB_download/Glycine_syndetika.fasta.gz' target='_blank'>Glycine syndetika.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_syndetika.cds.fasta.gz' target='_blank'>Glycine syndetika.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_syndetika.cdna.fasta.gz' target='_blank'>Glycine syndetika.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_syndetika.protein.fasta.gz' target='_blank'>Glycine syndetika.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_syndetika.gff.gz' target='_blank'>Glycine syndetika.gff.gz</a>	<a href='SoybeanGDB_download/Glycine_syndetika_tf_classification.txt.gz' target='_blank'>Glycine syndetika tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_syndetika.TE.txt.gz' target='_blank'>Glycine syndetika.TE.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_syndetika.GO.txt.gz' target='_blank'>Glycine syndetika.GO.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_syndetika.KEGG.txt.gz' target='_blank'>Glycine syndetika.KEGG.txt.gz</a>
Glycine tomentella D3	Glycine tomentella D3	Perennial Glycine	<a href='SoybeanGDB_download/Glycine_tomentella_D3.fasta.gz' target='_blank'>Glycine tomentella D3.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_tomentella_D3.cds.fasta.gz' target='_blank'>Glycine tomentella D3.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_tomentella_D3.cdna.fasta.gz' target='_blank'>Glycine tomentella D3.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_tomentella_D3.protein.fasta.gz' target='_blank'>Glycine tomentella D3.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Glycine_tomentella_D3.gff.gz' target='_blank'>Glycine tomentella D3.gff.gz</a>	<a href='SoybeanGDB_download/Glycine_tomentella_D3_tf_classification.txt.gz' target='_blank'>Glycine tomentella D3 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_tomentella_D3.TE.txt.gz' target='_blank'>Glycine tomentella D3.TE.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_tomentella_D3.GO.txt.gz' target='_blank'>Glycine tomentella D3.GO.txt.gz</a>	<a href='SoybeanGDB_download/Glycine_tomentella_D3.KEGG.txt.gz' target='_blank'>Glycine tomentella D3.KEGG.txt.gz</a>
